date,close,volume,外資,投信,自營商,三大法人合計(張),融資增減(張),K,D,RSI14,BB_upper,BB_lower,KD落入20以下,出現黃金交叉,趨勢向上非鈍化
2021-08-10,278.0,5277133,-2286,69,-257,-2474,,,,,,,False,False,False
2021-08-11,280.0,4529869,-692,18,-68,-742,,,,,,,False,False,False
2021-08-12,276.5,6088160,-2797,-12,-6,-2815,,,,,,,False,False,False
2021-08-13,274.0,7527257,-775,-455,-64,-1294,,,,,,,False,False,False
2021-08-16,279.0,6126427,777,-610,26,192,,,,,,,False,False,False
2021-08-17,262.0,13984799,-5945,14,-222,-6153,,,,,,,False,False,False
2021-08-18,267.0,13853377,-3724,71,69,-3584,,,,,,,False,False,False
2021-08-19,269.0,10480744,1890,75,-105,1860,,,,,,,False,False,False
2021-08-20,263.0,7558765,-3633,34,-124,-3723,,29.82,29.82,,,,False,False,False
2021-08-23,270.0,6074835,1092,-1377,90,-195,,39.38,33.01,,,,False,False,False
2021-08-24,268.0,4667138,-1158,-144,49,-1253,,43.56,36.53,,,,False,False,False
2021-08-25,277.5,6014849,753,30,34,817,,58.53,43.86,,,,False,False,False
2021-08-26,276.5,5811545,-821,-111,-32,-964,,66.18,51.3,,,,False,False,False
2021-08-27,279.0,5216537,601,-245,188,544,,74.37,58.99,,,,False,False,False
2021-08-30,279.5,3406797,-503,-5,-20,-528,,80.44,66.14,64.89,,,False,False,False
2021-08-31,270.5,13910947,-5341,-296,23,-5613,,67.14,66.47,54.31,,,False,False,False
2021-09-01,272.0,6737853,545,-140,30,435,,60.98,64.64,55.61,,,False,False,False
2021-09-02,268.5,5262670,-484,-389,-70,-943,,49.22,59.5,51.9,,,False,False,False
2021-09-03,272.0,5484830,644,-156,70,557,,48.05,55.69,55.12,,,False,False,False
2021-09-06,273.5,5386994,2125,-509,20,1635,,50.13,53.83,56.47,283.72,261.83,False,False,False
2021-09-07,271.5,5490679,1428,-311,-44,1072,,47.71,51.79,54.14,283.12,261.78,False,False,False
2021-09-08,270.5,4144768,279,-340,-212,-272,,45.35,49.64,52.96,282.06,261.89,False,False,False
2021-09-09,269.5,3262307,-232,-66,-8,-306,,41.69,46.99,51.75,281.53,261.72,False,False,False
2021-09-10,269.0,4632851,-892,-607,-1,-1500,,39.7,44.56,51.12,281.28,261.47,False,False,False
2021-09-13,263.5,8249708,-4031,-370,-10,-4410,,30.31,39.81,44.68,280.42,260.78,False,False,False
2021-09-14,263.5,4286100,368,-1048,-21,-701,,24.05,34.56,44.68,280.24,261.11,False,False,False
2021-09-15,258.0,7248862,-1765,280,-413,-1898,,16.04,28.38,38.98,281.25,259.2,False,False,False
2021-09-16,260.0,4406960,-1159,48,-56,-1167,,15.45,24.07,41.88,281.71,257.84,True,False,False
2021-09-17,256.0,8633675,-1554,-227,10,-1771,,11.97,20.04,37.99,282.55,256.3,True,False,False
2021-09-22,250.0,13073343,-1782,14,-220,-1987,,13.73,17.93,33.03,284.15,252.7,True,False,False
2021-09-23,251.5,4186548,-53,13,-10,-50,,17.18,17.68,35.3,285.06,250.14,True,False,False
2021-09-24,260.0,8349895,990,-169,81,902,,31.45,22.27,46.41,283.85,249.6,True,True,False
2021-09-27,258.0,6170750,-367,-199,-29,-596,,38.65,27.73,44.47,282.69,248.91,False,False,False
2021-09-28,252.5,6992850,-1117,-8,-2,-1127,,37.13,30.87,39.59,281.17,247.78,False,False,False
2021-09-29,248.5,8176227,-1224,97,-279,-1407,,30.06,30.6,36.45,279.5,246.35,False,False,False
2021-09-30,252.0,7346411,-102,91,5,-6,,30.64,30.61,40.87,278.86,245.14,False,True,False
2021-10-01,248.0,6401002,-1457,90,8,-1359,,24.98,28.73,37.65,278.07,243.53,False,False,False
2021-10-04,240.0,7606264,-2614,110,5,-2498,,17.84,25.1,32.19,278.57,240.18,False,False,False
2021-10-05,245.0,9473941,-818,144,148,-526,,20.78,23.66,38.22,277.28,238.77,True,False,False
2021-10-06,244.5,5931818,-616,-124,-72,-812,,22.19,23.17,37.85,275.28,237.87,False,False,False
2021-10-07,248.5,3944000,377,-77,193,493,,31.1,25.82,42.55,273.06,237.79,False,True,False
2021-10-08,250.5,4182013,360,8,-19,349,,42.16,31.27,44.8,270.68,238.17,False,False,False
2021-10-12,247.0,4859003,-696,11,-9,-694,,48.94,37.16,41.72,268.22,238.38,False,False,False
2021-10-13,246.5,4147073,-62,49,17,3,,52.42,42.25,41.29,265.41,238.94,False,False,False
2021-10-14,235.5,9780934,-3983,-184,6,-4161,,34.95,39.81,33.09,264.86,236.69,False,False,False
2021-10-15,240.0,9740496,-276,-69,11,-334,,33.21,37.61,38.47,263.12,236.08,False,False,False
2021-10-18,249.5,11667731,-1427,3647,-52,2168,,46.53,40.58,47.98,262.11,236.24,False,True,False
2021-10-19,259.0,11351102,-2455,3395,151,1092,,60.72,47.29,55.4,261.89,236.36,False,False,False
2021-10-20,254.5,9545918,-2936,40,56,-2839,,64.72,53.1,51.64,261.66,236.44,False,False,False
2021-10-21,253.0,5999358,-730,-50,-90,-870,,65.57,57.26,50.42,261.93,236.47,False,False,False
2021-10-22,244.0,8862261,-2532,-137,-15,-2685,,55.23,56.58,43.7,261.71,235.94,False,False,False
2021-10-25,242.5,5570521,-1271,-56,0,-1326,,46.52,53.23,42.68,259.99,235.91,False,False,False
2021-10-26,244.5,6563215,20,54,-53,21,,43.13,49.86,44.54,258.42,236.13,False,False,False
2021-10-27,244.5,5497868,393,-169,18,241,,40.88,46.87,44.54,257.8,235.95,False,False,False
2021-10-28,252.5,9107767,2157,-5,61,2213,,45.5,46.41,51.79,258.27,235.88,False,False,False
2021-10-29,245.0,9955504,-1508,-11,69,-1450,,36.69,43.17,45.75,257.71,235.74,False,False,False
2021-11-01,257.5,11586092,2712,315,42,3069,,54.19,46.84,55.14,259.19,235.21,False,True,False
2021-11-02,252.0,10822782,-3061,1520,130,-1412,,55.94,49.88,50.96,259.47,236.13,False,False,False
2021-11-03,247.0,9326306,-3321,126,53,-3141,,48.11,49.29,47.44,259.51,236.29,False,False,False
2021-11-04,253.5,9037097,1964,-27,10,1947,,54.59,51.06,52.08,260.1,236.6,False,True,False
2021-11-05,262.0,10784782,4372,-33,146,4485,,68.14,56.75,57.37,262.27,235.78,False,False,False
2021-11-08,259.5,6807337,-1772,-49,-43,-1865,,71.94,61.82,55.43,263.51,235.44,False,False,False
2021-11-09,266.0,7107013,1334,-52,27,1310,,81.3,68.31,59.29,266.22,234.63,False,False,False
2021-11-10,265.0,6373621,844,-10,-173,661,,83.18,73.27,58.45,268.3,234.4,False,False,False
