date,close,volume,外資,投信,自營商,三大法人合計(張),融資增減(張),K,D,KD落入20以下,出現黃金交叉,趨勢向上非鈍化,新手投資建議
2021-07-19,67.4,13584827,433.0,0.0,0.0,433.0,,,,False,False,False,❌ 空頭或無訊號
2021-07-20,66.2,14807739,-3333.0,0.0,0.0,-3333.0,,,,False,False,False,❌ 空頭或無訊號
2021-07-21,65.6,14572907,-224.0,0.0,0.0,-224.0,,,,False,False,False,❌ 空頭或無訊號
2021-07-22,66.2,10605837,653.0,0.0,0.0,653.0,,,,False,False,False,❌ 空頭或無訊號
2021-07-23,67.1,7085946,176.0,0.0,0.0,176.0,,,,False,False,False,❌ 空頭或無訊號
2021-07-26,67.1,8213525,695.0,0.0,0.0,695.0,,,,False,False,False,❌ 空頭或無訊號
2021-07-27,65.7,9259613,622.0,0.0,0.0,622.0,,,,False,False,False,❌ 空頭或無訊號
2021-07-28,63.4,25993570,-3133.0,0.0,0.0,-3133.0,,,,False,False,False,❌ 空頭或無訊號
2021-07-29,64.2,9285813,-937.0,0.0,0.0,-937.0,,35.48,35.48,False,False,False,❌ 空頭或無訊號
2021-07-30,67.8,39276341,7090.0,0.0,0.0,7090.0,,50.14,40.37,False,False,False,❌ 空頭或無訊號
2021-08-02,69.5,26698768,3239.0,0.0,0.0,3239.0,,63.55,48.1,False,False,False,❌ 空頭或無訊號
2021-08-03,70.6,37708831,9323.0,0.0,0.0,9323.0,,75.7,57.3,False,False,False,❌ 空頭或無訊號
2021-08-04,72.3,36445848,8871.0,0.0,0.0,8871.0,,83.48,66.02,False,False,False,❌ 空頭或無訊號
2021-08-05,72.4,32142759,6117.0,0.0,0.0,6117.0,,87.17,73.07,False,False,False,❌ 空頭或無訊號
2021-08-06,71.7,20902726,7040.0,0.0,0.0,7040.0,,87.51,77.88,False,False,False,❌ 空頭或無訊號
2021-08-09,69.1,31514623,1764.0,0.0,0.0,1764.0,,79.85,78.54,False,False,False,❌ 空頭或無訊號
2021-08-10,68.4,14482232,-1629.0,0.0,0.0,-1629.0,,71.08,76.05,False,False,False,❌ 空頭或無訊號
2021-08-11,66.6,30722281,-3580.0,0.0,0.0,-3580.0,,56.48,69.53,False,False,False,❌ 空頭或無訊號
2021-08-12,67.1,8182313,-1003.0,0.0,0.0,-1003.0,,44.04,61.03,False,False,False,❌ 空頭或無訊號
2021-08-13,64.9,17149221,-2405.0,0.0,0.0,-2405.0,,30.17,50.74,False,False,False,❌ 空頭或無訊號
2021-08-16,63.8,16505608,-1842.0,0.0,0.0,-1842.0,,21.83,41.11,False,False,False,❌ 空頭或無訊號
2021-08-17,63.8,12126085,-954.0,0.0,0.0,-954.0,,16.27,32.83,False,False,False,❌ 空頭或無訊號
2021-08-18,66.7,12246057,1023.0,0.0,0.0,1023.0,,24.44,30.03,True,False,False,⭐ 弱勢反彈
2021-08-19,63.3,13912277,983.0,0.0,0.0,983.0,,18.99,26.35,False,False,False,❌ 空頭或無訊號
2021-08-20,63.8,10979442,310.0,0.0,0.0,310.0,,18.44,23.71,True,False,False,⭐ 弱勢反彈
2021-08-23,65.5,10754567,502.0,0.0,0.0,502.0,,28.68,25.37,True,True,False,⭐⭐ 偏多觀察
2021-08-24,64.5,10565221,-2497.0,0.0,0.0,-2497.0,,32.46,27.73,False,False,False,❌ 空頭或無訊號
2021-08-25,65.4,16219972,-2083.0,0.0,0.0,-2083.0,,41.37,32.28,False,False,False,❌ 空頭或無訊號
2021-08-26,66.3,11679443,-239.0,0.0,0.0,-239.0,,50.61,38.39,False,False,False,❌ 空頭或無訊號
2021-08-27,66.0,7878591,170.0,0.0,0.0,170.0,,54.95,43.91,False,False,False,❌ 空頭或無訊號
2021-08-30,67.0,7956918,317.0,0.0,0.0,317.0,,63.91,50.57,False,False,False,❌ 空頭或無訊號
2021-08-31,67.2,6218226,293.0,0.0,0.0,293.0,,70.26,57.14,False,False,False,❌ 空頭或無訊號
2021-09-01,68.1,9796932,-237.0,0.0,0.0,-237.0,,80.18,64.82,False,False,False,❌ 空頭或無訊號
2021-09-02,67.9,19828261,-1024.0,0.0,0.0,-1024.0,,76.44,68.69,False,False,False,❌ 空頭或無訊號
2021-09-03,70.0,33907332,2699.0,0.0,0.0,2699.0,,82.73,73.37,False,False,False,❌ 空頭或無訊號
2021-09-06,68.5,20849779,590.0,0.0,0.0,590.0,,77.04,74.6,False,False,False,❌ 空頭或無訊號
2021-09-07,66.5,22061012,-2363.0,0.0,0.0,-2363.0,,58.64,69.28,False,False,False,❌ 空頭或無訊號
2021-09-08,65.3,14927997,-2538.0,0.0,0.0,-2538.0,,41.87,60.14,False,False,False,❌ 空頭或無訊號
2021-09-09,67.0,7136137,-72.0,0.0,0.0,-72.0,,42.05,54.11,False,False,False,❌ 空頭或無訊號
2021-09-10,67.1,6931511,183.0,0.0,0.0,183.0,,42.68,50.3,False,False,False,❌ 空頭或無訊號
2021-09-13,67.5,7299606,-273.0,0.0,0.0,-273.0,,45.12,48.57,False,False,False,❌ 空頭或無訊號
2021-09-14,66.9,5469830,34.0,0.0,0.0,34.0,,43.72,46.96,False,False,False,❌ 空頭或無訊號
2021-09-15,67.3,11326457,-162.0,0.0,0.0,-162.0,,44.8,46.24,False,False,False,❌ 空頭或無訊號
2021-09-16,67.0,10434370,-782.0,0.0,0.0,-782.0,,44.01,45.49,False,False,False,❌ 空頭或無訊號
2021-09-17,67.4,12621050,-844.0,0.0,0.0,-844.0,,48.05,46.35,False,True,False,⭐ 弱勢反彈
2021-09-22,65.7,9540886,-99.0,0.0,0.0,-99.0,,43.4,45.36,False,False,False,❌ 空頭或無訊號
2021-09-23,66.1,5674916,263.0,0.0,0.0,263.0,,43.33,44.69,False,False,False,❌ 空頭或無訊號
2021-09-24,66.7,4887853,-143.0,0.0,0.0,-143.0,,46.38,45.25,False,True,False,⭐ 弱勢反彈
2021-09-27,66.1,4981878,120.0,0.0,0.0,120.0,,43.42,44.64,False,False,False,❌ 空頭或無訊號
2021-09-28,65.3,8316136,-2066.0,0.0,0.0,-2066.0,,35.43,41.57,False,False,False,❌ 空頭或無訊號
2021-09-29,64.7,16035774,-2279.0,0.0,0.0,-2279.0,,29.82,37.65,False,False,False,❌ 空頭或無訊號
2021-09-30,64.9,10355249,-2175.0,0.0,0.0,-2175.0,,27.63,34.31,False,False,False,❌ 空頭或無訊號
2021-10-01,64.2,14668190,228.0,0.0,0.0,228.0,,20.92,29.85,False,False,False,❌ 空頭或無訊號
2021-10-04,63.3,10772261,203.0,0.0,0.0,203.0,,13.95,24.55,False,False,False,❌ 空頭或無訊號
2021-10-05,63.3,11642969,-1662.0,0.0,0.0,-1662.0,,21.47,23.52,True,False,False,⭐ 弱勢反彈
2021-10-06,62.5,8883900,-1633.0,0.0,0.0,-1633.0,,22.25,23.1,False,False,False,❌ 空頭或無訊號
2021-10-07,62.8,13015891,-3231.0,0.0,0.0,-3231.0,,24.36,23.52,False,True,False,⭐ 弱勢反彈
2021-10-08,63.0,5089928,-626.0,0.0,0.0,-626.0,,28.58,25.21,False,False,False,❌ 空頭或無訊號
2021-10-12,62.6,9519848,-1979.0,0.0,0.0,-1979.0,,30.91,27.11,False,False,False,❌ 空頭或無訊號
2021-10-13,61.8,12129660,-1612.0,0.0,0.0,-1612.0,,26.53,26.91,False,False,False,❌ 空頭或無訊號
2021-10-14,62.1,4765459,-284.0,0.0,0.0,-284.0,,25.84,26.55,False,False,False,❌ 空頭或無訊號
2021-10-15,63.3,10230740,-2643.0,0.0,0.0,-2643.0,,35.48,29.53,False,True,False,⭐ 弱勢反彈
2021-10-18,62.5,5989232,415.0,0.0,0.0,415.0,,40.32,33.13,False,False,False,❌ 空頭或無訊號
2021-10-19,62.6,6320111,-765.0,0.0,0.0,-765.0,,44.12,36.79,False,False,False,❌ 空頭或無訊號
2021-10-20,61.9,12072245,-1557.0,0.0,0.0,-1557.0,,39.29,37.62,False,False,False,❌ 空頭或無訊號
2021-10-21,62.9,8898784,-219.0,0.0,0.0,-219.0,,48.42,41.22,False,False,False,❌ 空頭或無訊號
2021-10-22,62.6,3539517,-81.0,0.0,0.0,-81.0,,50.8,44.41,False,False,False,❌ 空頭或無訊號
2021-10-25,62.5,8714426,-1743.0,0.0,0.0,-1743.0,,51.15,46.66,False,False,False,❌ 空頭或無訊號
2021-10-26,67.0,25056902,999.0,0.0,0.0,999.0,,66.28,53.2,False,False,True,⭐ 弱勢反彈
2021-10-27,68.3,18523860,1539.0,0.0,0.0,1539.0,,76.58,60.99,False,False,True,⭐ 弱勢反彈
2021-10-28,66.7,17222034,522.0,0.0,0.0,522.0,,75.94,65.97,False,False,False,❌ 空頭或無訊號
2021-10-29,66.3,7630437,233.0,0.0,0.0,233.0,,73.63,68.53,False,False,False,❌ 空頭或無訊號
2021-11-01,67.2,7480920,378.0,0.0,0.0,378.0,,76.32,71.12,False,False,False,❌ 空頭或無訊號
2021-11-02,68.0,20415960,3366.0,0.0,0.0,3366.0,,81.01,74.42,False,False,False,❌ 空頭或無訊號
2021-11-03,68.0,9998051,1820.0,0.0,0.0,1820.0,,83.86,77.57,False,False,False,❌ 空頭或無訊號
2021-11-04,68.1,11134687,1974.0,0.0,0.0,1974.0,,85.81,80.31,False,False,False,❌ 空頭或無訊號
2021-11-05,68.9,17151540,814.0,0.0,0.0,814.0,,88.19,82.94,False,False,True,⭐ 弱勢反彈
2021-11-08,70.9,38325678,2622.0,0.0,0.0,2622.0,,92.13,86.0,False,False,True,⭐ 弱勢反彈
2021-11-09,75.3,74719573,560.0,0.0,0.0,560.0,,94.75,88.92,False,False,True,⭐ 弱勢反彈
2021-11-10,75.2,37984276,1393.0,0.0,0.0,1393.0,,92.22,90.02,False,False,True,⭐ 弱勢反彈
2021-11-11,74.2,24631729,19.0,0.0,0.0,19.0,,87.34,89.13,False,False,True,⭐ 弱勢反彈
2021-11-12,74.0,24071949,156.0,0.0,0.0,156.0,,82.62,86.96,False,False,True,⭐ 弱勢反彈
2021-11-15,74.7,18424836,716.0,0.0,0.0,716.0,,81.75,85.22,False,False,True,⭐ 弱勢反彈
2021-11-16,72.8,28423695,-986.0,0.0,0.0,-986.0,,74.5,81.65,False,False,True,⭐ 弱勢反彈
2021-11-17,71.5,24970818,-103.0,0.0,0.0,-103.0,,63.46,75.58,False,False,True,⭐ 弱勢反彈
2021-11-18,73.0,15115642,1410.0,0.0,0.0,1410.0,,61.18,70.78,False,False,True,⭐ 弱勢反彈
2021-11-19,73.7,12153263,31.0,0.0,0.0,31.0,,59.25,66.94,False,False,True,⭐ 弱勢反彈
2021-11-22,73.9,26749565,807.0,0.0,0.0,807.0,,58.99,64.29,False,False,True,⭐ 弱勢反彈
2021-11-23,74.4,14897342,-120.0,0.0,0.0,-120.0,,64.04,64.2,False,False,True,⭐ 弱勢反彈
2021-11-24,74.5,12452638,167.0,0.0,0.0,167.0,,68.88,65.76,False,True,True,⭐⭐ 偏多觀察
